Method,Name,Error,Occurrences
GET,/history,RemoteDisconnected('Remote end closed connection without response'),1
GET,/average-temperature,RemoteDisconnected('Remote end closed connection without response'),67
GET,/current,RemoteDisconnected('Remote end closed connection without response'),114
GET,/current,"ConnectionResetError(10054, 'Varolan bir baðlantý uzaktaki bir ana bilgisayar tarafýndan zorla kapatýldý', None, 10054, None)",2
